,correlation,rmsd
0.1,-0.2905277350459103,231.66617463049582
0.2,-0.22327825018694086,252.41126524607927
0.30000000000000004,-0.1350601424906638,255.14259109687208
0.4,-0.053430876674300576,254.81962968571895
0.5,-0.011228733265821845,253.48903741448666
0.6,-0.003287820850373716,262.69397707912793
0.7000000000000001,0.06827152903843842,259.75794915192813
0.8,0.07741245928038973,266.7458464743485
0.9,0.10972023076981455,264.0796262363715
1.0,0.12732951513923713,278.6628883190796
2.0,0.2596742993416233,297.72904246966016
3.0,0.36203979972725525,302.8346931356234
4.0,0.42493681214667683,308.42761712169795
5.0,0.443087471224958,350.29884105566094
6.0,0.4751150365349063,361.58484373275394
7.0,0.5119818291958533,374.02592800777444
8.0,0.5290394489847393,377.2478947913411
9.0,0.5631563000250311,384.76444400185414
10.0,0.5895948239776915,379.8618554601385
11.0,0.6184164185361085,386.1415070333096
12.0,0.6223155729714825,379.7148348282847
13.0,0.6395025900399791,391.15781658710875
14.0,0.6532548792534155,386.95368322262794
15.0,0.6579002201715818,379.26987336960303
16.0,0.6541632654089915,394.59917317660006
17.0,0.6733999344134877,392.71566925646795
18.0,0.6858221066433838,396.09151073092465
19.0,0.6888833093295299,404.76806459233603
20.0,0.6950951481732927,399.63632610385673
