,correlation,rmsd
0.1,0.015942828333278727,269.9267527066524
0.2,0.2102084161916223,274.8154819921054
0.30000000000000004,0.26047959404402654,282.6738045786473
0.4,0.3553362045321751,277.9982402621703
0.5,0.3903567911566202,276.32001794223186
0.6,0.45231556904081777,273.44296350087706
0.7000000000000001,0.48286910914614967,270.81414558189283
0.8,0.5031344324071767,280.4892558641005
0.9,0.5725452155822979,282.57956512262024
1.0,0.5626931453946061,291.13848888534795
2.0,0.6975548942997922,303.04652670171373
3.0,0.738575721753147,329.9012951077649
4.0,0.7687041331689023,354.53832108636453
5.0,0.8004595778727442,356.3918646860103
6.0,0.8054882873487492,374.71086190736935
7.0,0.8386877926331833,379.53866180522016
8.0,0.8407149323124867,398.77228033579354
9.0,0.861185988999327,400.41465686163144
10.0,0.8741475127548208,410.9864282195679
11.0,0.8768412689420639,426.71505592546004
12.0,0.8881745414756583,428.4040706175827
13.0,0.8866045730860767,442.51609350815494
14.0,0.8943042665694716,451.6675356064291
15.0,0.9004778459332486,452.93578313244495
16.0,0.9007182188079766,468.2036951366878
17.0,0.9015340469496609,476.3647430499581
18.0,0.9112273973793016,484.57473245239925
19.0,0.9092449216135119,484.76121637938377
20.0,0.9065106807419075,489.2936616355307
