,correlation,rmsd
0.1,-0.027620358935891987,218.29636303211024
0.2,0.05684578280773392,219.9020957576261
0.30000000000000004,0.1630604398537519,221.77048114932134
0.4,0.19281657240858174,245.02339772342606
0.5,0.26463424309587724,241.83429709368963
0.6,0.2734247520462828,253.81504421493761
0.7000000000000001,0.31519348534324604,248.57442295172285
0.8,0.3326535223597061,248.24581771201315
0.9,0.39600060025865585,244.0292349520493
1.0,0.4279309597839744,241.7351866105216
2.0,0.5140704305450908,264.85987061083046
3.0,0.6065741937867278,272.91547031290787
4.0,0.6509853799498523,271.4018868809886
5.0,0.707303084350993,267.3364346064765
6.0,0.7194573039100635,283.56000250541945
7.0,0.7407447412751904,283.164252729873
8.0,0.7634128644567163,295.4133022303352
9.0,0.7798086195047652,306.6159185318954
10.0,0.7821280469932279,307.0563957468787
11.0,0.7981488146520939,311.5485881899811
12.0,0.8153219661630492,313.28676771961864
13.0,0.8288728678757432,314.69546716851903
14.0,0.8438763048747893,325.96451845758577
15.0,0.8554077823444481,327.09915111215685
16.0,0.8445028344245321,330.9775816276101
17.0,0.8605243261939836,355.30048820484177
18.0,0.8669640681247366,350.66176971363694
19.0,0.8628951291486555,361.2099924901239
20.0,0.879611029753437,360.20132335993605
